id,code,name,user_type_id:id,reconcile,chart_template_id:id
a_4_400100,400100,Pendapatan Usaha,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_400200,400200,Pendapatan Logging Pole Trailer,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_400300,400300,Pendapatan Side Dump Trailer,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_400400,400400,Pendapatan Dump Truck,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_400500,400500,Pendapatan Trailer,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_400600,400600,Pendapatan Concrete Mixer,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_400700,400700,Pendapatan Truck Mounted Crane,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_400800,400800,Pendapatan Supporting Truck,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_400900,400900,Pendapatan Crusher,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_401000,401000,Pendapatan Spare Parts,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_401100,401100,Pendapatan Other Produk,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_401200,401200,Pendapatan Mobile Oxygen Plant,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_401300,401300,Pendapatan Road Sweeper Truck,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_4_401400,401400,Pendapatan Fire Fighting Truck,account.data_account_type_revenue,FALSE,l10n_id_nb_chart
a_5_500000,500000,BEBAN POKOK PENJUALAN,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_510000,510000,BAHAN BAKU YANG DIGUNAKAN,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_510100,510100,Pemakaian Material,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_510200,510200,Pemakaian Consumable,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_510300,510300,Pemakaian Komponen,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_510400,510400,Pemakaian Spare Parts,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_510500,510500,Biaya Pengeluaran Barang,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_510600,510600,HPP Logging Pole Trailer,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_510700,510700,HPP Side Dump Trailer,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_510800,510800,HPP Dump Truck,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_510900,510900,HPP Trailer,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_511000,511000,HPP Concrete Mixer,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_511100,511100,HPP Truck Mounted Crane,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_511200,511200,HPP Supporting Truck,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_511300,511300,HPP Crusher,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_511400,511400,HPP Others,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_511500,511500,HPP Mobile Oxygen Plant,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_511600,511600,HPP Road Sweeper Truck,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_511700,511700,HPP Fire Fighting Truck,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_520000,520000,TENAGA KERJA LANGSUNG,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_520100,520100,Biaya Tenaga Kerja Langsung,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_530000,530000,BEBAN PABRIKASI,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_530100,530100,Biaya Sub Contractor,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_530200,530200,Biaya Listrik dan Air Pabrik,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_530300,530300,Penyusutan Mesin dan Peralatan,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_530400,530400,Penyusutan Bangunan - Workshop,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_530500,530500,Biaya Pemeliharaan dan Perbaikan Aset Pabrik,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
a_5_530600,530600,Biaya Repair / Garansi,account.data_account_type_direct_costs,FALSE,l10n_id_nb_chart
